
Connected to: Oracle Database 11g Enterprise Edition Release 11.1.0.6.0 - 64bit Production
With the Partitioning, OLAP, Data Mining and Real Application Testing options

Export file created by EXPORT:V10.02.01 via conventional path

Warning: the objects were exported by ADV9_TRAIN, not by you

import done in WE8MSWIN1252 character set and AL16UTF16 NCHAR character set
. . importing table   "PAST_DOCUMENT_BATCH_HEADER"          0 rows imported
. . importing table             "PAYMENT_SCHEDULE"       1151 rows imported
. . importing table         "PAYMENT_SCHEDULE_REV"          0 rows imported
. . importing table                     "PBCATCOL"       4764 rows imported
. . importing table                     "PBCATEDT"       1484 rows imported
. . importing table                     "PBCATFMT"         25 rows imported
. . importing table                     "PBCATTBL"        501 rows imported
. . importing table                     "PBCATVLD"         14 rows imported
. . importing table       "PHILANTHROPIC_INTEREST"         11 rows imported
. . importing table                 "PLANNED_GIFT"         15 rows imported
. . importing table                   "PLAN_TABLE"          0 rows imported
. . importing table                       "PLEDGE"        139 rows imported
. . importing table                   "PLEDGE_ACK"         12 rows imported
. . importing table                 "PLEDGE_CODES"          2 rows imported
. . importing table              "PLEDGE_EFT_BASE"          2 rows imported
. . importing table               "PLEDGE_PREMIUM"          3 rows imported
. . importing table      "PLEDGE_PREMIUM_REVERSAL"          1 rows imported
. . importing table          "PLEDGE_REMINDER_LOG"          1 rows imported
. . importing table                   "PLEDGE_REV"         11 rows imported
. . importing table     "PLEDGE_REVERSAL_EFT_BASE"          0 rows imported
. . importing table               "PLEDGE_REV_ACK"          0 rows imported
. . importing table             "PLEDGE_REV_CODES"          0 rows imported
. . importing table      "PLEDGE_REV_REMINDER_LOG"          0 rows imported
. . importing table                 "PRIMARY_GIFT"        580 rows imported
. . importing table        "PRIMARY_GIFT_REVERSAL"         39 rows imported
. . importing table               "PRIMARY_PLEDGE"        116 rows imported
. . importing table           "PRIMARY_PLEDGE_REV"         11 rows imported
. . importing table             "PROGRAM_PROSPECT"         18 rows imported
. . importing table                     "PROPOSAL"         37 rows imported
. . importing table             "PROPOSAL_PURPOSE"         12 rows imported
. . importing table                     "PROSPECT"         73 rows imported
. . importing table            "PROSPECT_CATEGORY"          8 rows imported
. . importing table              "PROSPECT_ENTITY"         85 rows imported
. . importing table            "PROSPECT_INTEREST"         24 rows imported
. . importing table                  "PUBLICATION"          3 rows imported
. . importing table                  "RECRUITMENT"          1 rows imported
. . importing table           "RECRUITMENT_ENTITY"          2 rows imported
. . importing table         "RECRUITMENT_INTEREST"          2 rows imported
. . importing table        "RECRUITMENT_RECRUITER"          1 rows imported
. . importing table                 "RELATIONSHIP"        323 rows imported
. . importing table                   "SALUTATION"          7 rows imported
. . importing table           "SAV_ZZ_DW_SECURITY"        565 rows imported
. . importing table      "SAV_ZZ_WINDOWS_SECURITY"       1248 rows imported
. . importing table                      "SEGMENT"          4 rows imported
. . importing table               "SEGMENT_HEADER"          2 rows imported
. . importing table                          "SIC"          4 rows imported
. . importing table                        "SPORT"         12 rows imported
. . importing table                        "STAFF"         49 rows imported
. . importing table                        "STAGE"        137 rows imported
. . importing table                  "STEWARDSHIP"          4 rows imported
. . importing table             "STUDENT_ACTIVITY"         47 rows imported
. . importing table                         "TASK"         79 rows imported
. . importing table                 "TASK_OUTLOOK"          0 rows imported
. . importing table            "TASK_OUTLOOK_SYNC"          0 rows imported
. . importing table             "TASK_RESPONSIBLE"         59 rows imported
. . importing table         "TEMP_10_COUNTS_MONTH"          0 rows imported
. . importing table       "TEMP_10_COUNTS_OVERALL"          0 rows imported
. . importing table          "TEMP_10_COUNTS_YEAR"          0 rows imported
. . importing table         "TEMP_10_DONORS_MONTH"          0 rows imported
. . importing table       "TEMP_10_DONORS_OVERALL"          0 rows imported
. . importing table          "TEMP_10_DONORS_YEAR"          0 rows imported
. . importing table                  "TEMP_10_IDS"          0 rows imported
. . importing table                 "TEMP_10_INDS"          0 rows imported
. . importing table          "TEMP_10_TOTAL_MONTH"          0 rows imported
. . importing table        "TEMP_10_TOTAL_OVERALL"          0 rows imported
. . importing table           "TEMP_10_TOTAL_YEAR"          0 rows imported
. . importing table      "TEMP_10_TOTAL_YEAR_SIZE"          0 rows imported
. . importing table         "TEMP_11_COUNTS_MONTH"          0 rows imported
. . importing table       "TEMP_11_COUNTS_OVERALL"          0 rows imported
. . importing table          "TEMP_11_COUNTS_YEAR"          0 rows imported
. . importing table         "TEMP_11_DONORS_MONTH"          0 rows imported
. . importing table       "TEMP_11_DONORS_OVERALL"          0 rows imported
. . importing table          "TEMP_11_DONORS_YEAR"          0 rows imported
. . importing table                  "TEMP_11_IDS"          0 rows imported
. . importing table                 "TEMP_11_INDS"          0 rows imported
. . importing table          "TEMP_11_TOTAL_MONTH"          0 rows imported
. . importing table        "TEMP_11_TOTAL_OVERALL"          0 rows imported
. . importing table           "TEMP_11_TOTAL_YEAR"          0 rows imported
. . importing table      "TEMP_11_TOTAL_YEAR_SIZE"          0 rows imported
